,Title,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Summary,Reviews,Plays,Playing,Backlogs,Wishlist
63,Dark Souls,"Jan 01, 2011",[],4.3,2K,2K,['Adventure'],"An action RPG and spiritual sequel to Demon's Souls in which the player embodies the Chosen Undead, who is tasked with fulfilling an ancient prophecy by ringing the Bells of Awakening in the dark fantasy setting of Lordran, an open world with intricate areas full of beasts, former humans gone hollow, and magical abominations whom the player must overcome in challenging and unforgiving combat.",[],14K,447,2K,1K
64,The Legend of Zelda: Ocarina of Time,"Jan 01, 1998",[],4.3,2K,2K,['Adventure'],"The Legend of Zelda: Ocarina of Time is the fifth main installment of The Legend of Zelda series and the first to be released for the Nintendo 64. It was one of the most highly anticipated games of its age, and is listed among the greatest video games ever created by numerous websites and magazines. The gameplay of Ocarina of Time was revolutionary for its time, it has arguably made more of an impact on later games in the series than any of its predecessors even though they had the same cores of",[],17K,433,3K,1K
65,Deltarune: Chapter 2,"Jan 01, 2021",[],4.3,737,737,['Adventure'],"Deltarune: Chapter 2 is the next installment of the sequel to beloved indie darling Undertale...in a different world! This time around, two more classmates join the protagonists in their adventure as they, too, discover a mysterious world hidden behind a door, called the ""Cyber World"".
             

              Players with no save data will be able to start right at Chapter 2. “As long as you generally remember what happened story-wise, you’ll be fine,” the developers said in an FAQ.",[],7K,222,2K,753
66,Chrono Trigger,"Jan 01, 1995",[],4.5,1K,1K,['Adventure'],"In this turn-based Japanese RPG, young Crono must travel through time through a misfunctioning teleporter to rescue his misfortunate companion and take part in an intricate web of past and present perils. The adventure that ensues soon unveils an evil force set to destroy the world, triggering Crono's race against time to change the course of history and bring about a brighter future.",[],9K,518,4K,2K
67,Metal Gear Solid 2: Sons of Liberty,"Jan 01, 2001",[],4.4,1K,1K,['Adventure'],"Metal Gear Solid 2: Sons of Liberty is the sequel to the espionage action game Metal Gear Solid. Much of the gameplay remains the same, as the game's protagonist has to sneak past guards, outsmart them using various gadgets and defeat the tricky boss enemies. The game expanded its predecessor's cover mechanic, with Solid Snake or Raiden able to take cover behind walls or objects and pop out to shoot at enemies, while the improved enemy AI allowed enemies to also take cover from the player. Metal",[],10K,161,2K,1K
68,Super Mario World,"Jan 01, 1990",[],4.2,2K,2K,['Adventure'],"A 2D platformer and first entry on the SNES in the Super Mario franchise, Super Mario World follows Mario as he attempts to defeat Bowser's underlings and rescue Princess Peach from his clutches. The game features a save system, a less linear world map, an expanded movement arsenal and numerous new items for Mario, alongside new approaches to level design and art direction.",[],18K,218,1K,460
69,Death Stranding,"Jan 01, 2019",[],3.9,1K,1K,['Adventure'],"From legendary game creator Hideo Kojima comes an all-new, genre-defying open world action adventure, starring Norman Reedus, Mads Mikkelsen, Léa Seydoux and Lindsay Wagner.
             

              In the near future, mysterious explosions have rocked the globe, setting off a series of supernatural events known as the Death Stranding. With otherworldly creatures plaguing the landscape, and mass extinction imminent, it’s up to Sam Porter Bridges to travel across the ravaged wasteland and sav",[],9K,934,4K,2K
70,Marvel's Spider-Man: Miles Morales,"Jan 01, 2020",[],3.9,1K,1K,['Adventure'],The latest adventure in the Spider-Man universe will build on and expand ‘Marvel’s Spider-Man’ through an all-new story. Players will experience the rise of Miles Morales as he masters new powers to become his own Spider-Man.,[],9K,372,2K,2K
71,Dark Souls: Remastered,"Jan 01, 2018",[],4.3,1K,1K,['Adventure'],Dark Souls Remastered is a remastered version of the original game Dark Souls. The updated version of the game features graphical enhancements as well as an expanded online mode.,[],11K,786,2K,1K
72,EarthBound,"Jan 01, 1994",[],4.2,1K,1K,['Adventure'],"A turn-based JRPG and sequel to then-Japan-only Earthbound Beginnings (1989) in which Ness, a young boy living in a land based on the USA, leaves home to go on an adventure through strange locations, get to know quirky characters and defeat an unknowable alien threat called Giygas while facing up to the realities of growing up and becoming familiar with the real world.",[],9K,600,4K,1K
73,Castlevania: Symphony of the Night,"Jan 01, 1997",[],4.4,1K,1K,['Adventure'],"A seminal 2D metroidvania in which after the events of Castlevania: Rondo of Blood (1993), a man named Alucard arrives at Dracula's castle after it rises from the rubble, and seeks to defeat the evil contained within it once and for all by exploring, fighting its inhabitants and collecting the various weapons and abilities hidden in its depths.",[],9K,316,3K,1K
